,storyline,cast
The Taking of Pelham One Two Three (1974),"In 1971, San Francisco faces the terror of a maniac known as the ""Scorpio Killer"" (Andrew Robinson), who snipes at innocent victims and demands ransom through notes left at the scene of the crime. Inspector ""Dirty"" Harry Callahan (Clint Eastwood) is assigned to the case along with his newest partner Inspector Chico Gonzalez (Reni Santoni) to track down Scorpio and stop him. Using humiliation and cat-and-mouse type of games against Callahan, Scorpio is put to the test with the cop with a dirty attitude.","{'Harry': 'Clint Eastwood', 'Bressler': 'Harry Guardino', 'Chico': 'Reni Santoni', 'The Mayor': 'John Vernon', 'Killer': 'Andrew Robinson'}"
Blazing Saddles (1974),"Felix's (Jack Lemmon) wife has left him and he is contemplating suicide. His friends sense his depression and one of them, Oscar (Walter Matthau), volunteers to take him in until he is fine again. The two of them are like chalk and cheese - Oscar is fun-loving, gregarious and slovenly, Felix is a shy, stay-at-home, obsessive-compulsive neat-freak. Being around Oscar brightens Felix up, but he quickly starts to irritate Oscar.","{'Felix Ungar': 'Jack Lemmon', 'Oscar Madison': 'Walter Matthau', 'Vinnie': 'John Fiedler', 'Murray': 'Herb Edelman', 'Roy': 'David Sheiner'}"
Serpico (1973),A Major with an attitude problem and a history of getting things done is told to interview military prisoners with death sentences or long terms for a dangerous mission; To parachute behind enemy lines and cause havoc for the German Generals at a rest house on the eve of D-Day.,"{'Major Reisman': 'Lee Marvin', 'General Worden': 'Ernest Borgnine', 'Joseph Wladislaw': 'Charles Bronson', 'Robert Jefferson': 'Jim Brown', 'Victor Franko': 'John Cassavetes'}"
Enter the Dragon (1973),"Severine is a beautiful young woman married to a doctor. She loves her husband dearly, but cannot bring herself to be physically intimate with him. She indulges instead in vivid, kinky, erotic fantasies to entertain her sexual desires. Eventually she becomes a prostitute, working in a brothel in the afternoons while remaining chaste in her marriage.","{'Séverine Serizy / Belle de Jour': 'Catherine Deneuve', 'Pierre Sérizy': 'Jean Sorel', 'Henri Husson': 'Michel Piccoli', 'Madame Anais': 'Geneviève Page', 'Marcel': 'Pierre Clémenti'}"
Deliverance (1972),"The story takes place in sixteenth century England. But men like Sir Thomas More, who love life yet have the moral fiber to lay down their lives for their principles, are found in every century. Concentrating on the last seven years of the English Chancellor's life, the struggle between More and King Henry VIII hinges on Henry's determination to break with Rome so he can divorce his current wife and wed again, and good Catholic More's inability to go along with such heresy. More resigns as Chancellor, hoping to be able to live out his life as a private citizen. But Henry will settle for nothing less than that the much respected More give public approval to his headstrong course.","{'Thomas More': 'Paul Scofield', 'Alice': 'Wendy Hiller', 'Cromwell': 'Leo McKern', 'Henry VIII': 'Robert Shaw', 'Cardinal Wolsey': 'Orson Welles'}"
The French Connection (1971),"In London, Belgian immigrant Carol Ledoux shares an apartment with her older sister Helen, and works as a manicurist at a beauty salon. Helen uses the word ""sensitive"" to describe Carol's overall demeanor, which is almost like she walks around in a daze, rarely speaking up about anything. When she does speak up, it generally is about something against one of those few issues on which she obsesses, such as Helen's boyfriend Michael's invasion of her space at the apartment. That specific issue may be more about men in general than just Michael's actions, as witnessed by Carol being agitated by hearing Helen and Michael's lovemaking, and she not being able to rebuff the advances effectively of a male suitor, Colin, who is infatuated with her. One of those other obsessive issues is noticing cracks and always wanting to fix them. While Helen and Michael leave on a vacation to Pisa, Italy, Carol chooses largely to lock herself in the apartment, ditching work. There, she is almost hypnotized by her solitude, which leads to her mental state deteriorating as those obsessions come to the fore. She quickly descends into madness, which ultimately also affects those that are trying to get in touch with her.","{'Carol': 'Catherine Deneuve', 'Michael': 'Ian Hendry', 'Colin': 'John Fraser', 'Helen': 'Yvonne Furneaux', 'Landlord': 'Patrick Wymark'}"
Dirty Harry (1971),"Zululand, South Africa, 1879. The British are fighting the Zulus and one of their columns has just been wiped out at Isandlwana. The Zulus next fix their sights on the small British outpost at Rorke's Drift. At the outpost are one hundred fifty British troops under the command of Lieutenants Bromhead and Chard. In the next few days, these one hundred fifty troops will fight about four thousand Zulus in one of the most courageous battles in history.","{'Lt. John Chard R. E.': 'Stanley Baker', 'Otto Witt': 'Jack Hawkins', 'Margareta Witt': 'Ulla Jacobsson', 'Pvt. Henry Hook': 'James Booth', 'Lt. Gonville Bromhead': 'Michael Caine'}"
The Odd Couple (1968),"James Bond (Sir Sean Connery) is back and his next mission takes him to Fort Knox, where Auric Goldfinger (Gert Fröbe) and his henchman are planning to raid Fort Knox and obliterate the world economy. To save the world once again, Bond will need to become friends with Goldfinger, dodge killer hats, and avoid Goldfinger's personal pilot, the sexy Pussy Galore (Honor Blackman). She might not have feelings for Bond, but will 007 help her change her mind? —simon_hrdng","{'James Bond': 'Sean Connery', 'Auric Goldfinger': 'Gert Fröbe', 'Pussy Galore': 'Honor Blackman', 'Jill Masterson': 'Shirley Eaton', 'Tilly Masterson': 'Tania Mallet'}"
The Dirty Dozen (1967),"Melanie Daniels is the modern rich socialite, part of the jet-set who always gets what she wants. When lawyer Mitch Brenner sees her in a pet shop, he plays something of a practical joke on her, and she decides to return the favor. She drives about an hour north of San Francisco to Bodega Bay, where Mitch spends the weekends with his mother Lydia and younger sister Cathy. Soon after her arrival, however, the birds in the area begin to act strangely. A seagull attacks Melanie as she is crossing the bay in a small boat, and then, Lydia finds her neighbor dead, obviously the victim of a bird attack. Soon, birds in the hundreds and thousands are attacking anyone they find out of doors. There is no explanation as to why this might be happening, and as the birds continue their vicious attacks, survival becomes the priority.","{'Mitch Brenner': 'Rod Taylor', 'Lydia Brenner': 'Jessica Tandy', 'Annie Hayworth': 'Suzanne Pleshette', 'Melanie Daniels': 'Tippi Hedren', 'Cathy Brenner': 'Veronica Cartwright'}"
Belle de jour (1967),"Small-town lawyer Sam Bowden's life becomes torturous when Max Cady re-enters his life. Cady went to jail for 8 years after Bowden testified that Cady attacked a young woman. Now that Cady has been released, he begins to terrorize Bowden and his family, particularly targeting Bowden's daughter, Nancy. Initially, Cady uses his newfound knowledge of the law (learned in prison) to annoy the Bowdens, then poisons the family dog... Who's next ? —Chris Holland <cholland@atlantic.net>","{'Sam Bowden': 'Gregory Peck', 'Max Cady': 'Robert Mitchum', 'Peggy Bowden': 'Polly Bergen', 'Nancy Bowden': 'Lori Martin', 'Police Chief Mark Dutton': 'Martin Balsam'}"
A Man for All Seasons (1966),"Mark Lewis, works as a focus puller in a British film studio. On his off hours, he supplies a local porno shop with cheesecake photos and also dabbles in filmmaking. A lonely, unfriendly, sexually repressed fellow, Mark is obsessed with the effects of fear and how they are registered on the face and behavior of the frightened. This obsession dates from the time when, as a child, he served as the subject of some cold-blooded experiments in terror conducted by his own scientist father. As a grown man, Mark becomes a compulsive murderer who kills women and records their contorted features and dying gasps on film. His ongoing project is a documentary on fear. With 16mm camera in hand, he accompanies a prostitute to her room and stabs her with a blade concealed in his tripod, all the while photographing her contorted face in the throes of terror and death. Alone in his room, he surrounds himself with the sights and sounds of terror: taped screams, black-and-white ""home movies"" of convulsed faces. At his house, he meets Helen Stephens, a young woman who lives with her blind mother in a downstairs flat. She visits his flat, where he shows her black-and-white films that were taken of him when he was a child. She is horrified to see that his father used him as a guinea pig in various experiments, taking movies of his reactions of fear.","{'Mark Lewis': 'Karlheinz Böhm', 'Vivian': 'Moira Shearer', 'Helen Stephens': 'Anna Massey', 'Mrs. Stephens': 'Maxine Audley', 'Dora': 'Brenda Bruce'}"
Repulsion (1965),"A bandit terrorizes a small Mexican farming village each year. Several of the village elders send three of the farmers into the United States to search for gunmen to defend them. They end up with seven, each of whom comes for a different reason. They must prepare the town to repulse an army of thirty bandits who will arrive wanting food.","{'Chris Larabee Adams': 'Yul Brynner', 'Calvera': 'Eli Wallach', 'Vin Tanner': 'Steve McQueen', 'Chico': 'Horst Buchholz', ""Bernardo O'Reilly"": 'Charles Bronson'}"
Zulu (1964),"After causing an accident that left his daughter Christiane severely disfigured, the brilliant surgeon Dr. Génessier works tirelessly to give the girl a new face. He does so, however, by kidnapping young women and attempting face transplants. He has been woefully unsuccessful to date. The doctor's world begins to collapse around him when his daughter realizes just what he has been doing.","{'Le docteur Génessier': 'Pierre Brasseur', 'Louise': 'Alida Valli', 'Edna Grüber': 'Juliette Mayniel', ""L'inspecteur Parot"": 'Alexandre Rignault', 'Paulette Meroudon': 'Béatrice Altariba'}"
Goldfinger (1964),"Dr. Miles Bennell returns to his small town practice to find several of his patients suffering the paranoid delusion that their friends or relatives are impostors. He is initially skeptical, especially when the alleged doppelgangers are able to answer detailed questions about their victim's lives, but he is eventually persuaded that something odd has happened and determines to find out what is causing this phenomenon.","{'Dr. Miles J. Bennell': 'Kevin McCarthy', 'Becky Driscoll': 'Dana Wynter', ""Dr. Dan 'Danny' Kauffman"": 'Larry Gates', 'Jack Belicec': 'King Donovan', ""Theodora 'Teddy' Belicec"": 'Carolyn Jones'}"
The Birds (1963),"Jim Stark is the new kid in town. He has been in trouble elsewhere; that's why his family has had to move before. Here he hopes to find the love he doesn't get from his middle-class family. Though he finds some of this in his relation with Judy, and a form of it in both Plato's adulation and Ray's real concern for him, Jim must still prove himself to his peers in switchblade knife fights and ""chickie"" games in which cars race toward a seaside cliff.","{'Jim Stark': 'James Dean', 'Judy': 'Natalie Wood', ""John 'Plato' Crawford"": 'Sal Mineo', 'Frank Stark': 'Jim Backus', 'Mrs. Carol Stark': 'Ann Doran'}"
Cape Fear (1962),"A gang planning a 'job' find themselves living with a little old lady, who thinks they are musicians. When the gang set out to kill Mrs Wilberforce, they run into one problem after another, and they get what they deserve.","{'Professor Marcus': 'Alec Guinness', 'Claude': 'Cecil Parker', 'Louis': 'Herbert Lom', 'Harry': 'Peter Sellers', 'One-Round': 'Danny Green'}"
Peeping Tom (1960),"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire with no time for a wife and family. David is all play -- technically employed in the family business but never showing up for work, spending all his time entertaining, and having been married and divorced three times. Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who has been infatuated with David all her life, but whom David hardly notices till she goes away to Paris for two years and returns an elegant, sophisticated, beautiful woman. Suddenly, she finds she's captured David's attention, but just as she does so, she finds herself also falling in love with Linus, and she finds that Linus is also falling in love with her.","{'Linus Larrabee': 'Humphrey Bogart', 'Sabrina Fairchild': 'Audrey Hepburn', 'David Larrabee': 'William Holden', 'Oliver Larrabee': 'Walter Hampden', 'Thomas Fairchild': 'John Williams'}"
The Magnificent Seven (1960),"During the World War II, the crew of a small insignificant ship in the U.S. Pacific Fleet experience an event unlike any event ever experienced by the United States Navy. A Ship's Captain is removed from command by his Executive Officer in an apparent outright act of mutiny. As the trial of the mutineers unfold, it is learned that the Captain of the ship was mentally unstable, perhaps even insane. The Navy must decide if the Caine Mutiny was a criminal act, or an act of courage to save a ship from destruction at the hands of her Captain? —Anthony Hughes <husnock31@hotmail.com>","{'Lt. Cmdr. Philip Francis Queeg': 'Humphrey Bogart', 'Lt. Barney Greenwald': 'José Ferrer', 'Lt. Steve Maryk': 'Van Johnson', 'Lt. Tom Keefer': 'Fred MacMurray', 'Ens. Willie Keith': 'Robert Francis'}"
Les yeux sans visage (1960),"Travelling with mind-boggling speed, a gleaming unidentified flying object zooming in from the boundless deep space, penetrates the Earth's atmosphere, landing smoothly in Cold War-Washington, D.C. Encircled by large yet feeble military forces, the peaceful intergalactic ambassador, Klaatu, emerges from the mysterious vessel accompanied by the silently dangerous robot of incomprehensible power, Gort, only to witness firsthand the earthlings' hospitality. The sophisticated humanoid declares that he comes in peace; however, he needs to assemble the world's greatest minds to hear his merciful warning and a definitive ultimatum. Is Klaatu the messenger of humanity's doom? —Nick Riganas","{'Klaatu': 'Michael Rennie', 'Helen Benson': 'Patricia Neal', 'Tom Stevens': 'Hugh Marlowe', 'Professor Jacob Barnhardt': 'Sam Jaffe', 'Bobby Benson': 'Billy Gray'}"
Invasion of the Body Snatchers (1956),"Disney animators set pictures to Western classical music as Leopold Stokowski conducts the Philadelphia Orchestra. ""The Sorcerer's Apprentice"" features Mickey Mouse as an aspiring magician who oversteps his limits. ""The Rite of Spring"" tells the story of evolution, from single-celled animals to the death of the dinosaurs. ""Dance of the Hours"" is a comic ballet performed by ostriches, hippos, elephants, and alligators. ""Night on Bald Mountain"" and ""Ave Maria"" set the forces of darkness and light against each other as a devilish revel is interrupted by the coming of a new day.","{'Self - Narrative Introductions': 'Deems Taylor', 'Self - Conductor of The Philadelphia Orchestra': 'Leopold Stokowski', 'Themselves': 'The Philadelphia Orchestra', 'Narrator: Deems Taylor overdubs': 'Corey Burton', 'Mickey Mouse': 'Walt Disney'}"
Rebel Without a Cause (1955),"A mysterious man, whose head is completely covered in bandages, wants a room. The proprietors of the pub aren't used to making their house an inn during the winter months, but the man insists. They soon come to regret their decision. The man quickly runs out of money, and he has a violent temper besides. Worse still, he seems to be some kind of chemist and has filled his room with messy chemicals, test tubes, beakers and the like. When they try to throw him out, they make a ghastly discovery. Meanwhile, Flora Cranley appeals to her father to do something about the mysterious disappearance of Dr. Griffin, his assistant and her sweetheart. Her father's other assistant, the cowardly Dr. Kemp, is no help. He wants her for himself. Little does Flora guess that the wild tales, from newspapers and radio broadcasts, of an invisible homicidal maniac are stories of Dr. Griffin himself, who has discovered the secret of invisibility and gone mad in the process.","{'Dr. Jack Griffin aka The Invisible Man': 'Claude Rains', 'Flora Cranley': 'Gloria Stuart', 'Dr. Arthur Kemp': 'William Harrigan', 'Dr. Cranley': 'Henry Travers', 'Jenny Hall': ""Una O'Connor""}"
The Ladykillers (1955),A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,"{'Rob Bilott': 'Mark Ruffalo', 'Sarah Barlage Bilott': 'Anne Hathaway', 'Tom Terp': 'Tim Robbins', 'Harry Dietzler': 'Bill Pullman', 'Wilbur Tennant': 'Bill Camp'}"
Sabrina (1954),"After David Kim (John Cho)'s 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter's laptop. In a hyper-modern thriller told via the technology devices we use every day to communicate, David must trace his daughter's digital footprints before she disappears forever.","{'David Kim': 'John Cho', 'Pamela Nam Kim': 'Sara Sohn', 'Young Margot': 'Kya Dawn Lau'}"
The Caine Mutiny (1954),"Quentin Tarantino's Once Upon a Time... in Hollywood visits 1969 Los Angeles, where everything is changing, as TV star Rick Dalton (Leonardo DiCaprio) and his longtime stunt double Cliff Booth (Brad Pitt) make their way around an industry they hardly recognize anymore. The ninth film from the writer-director features a large ensemble cast and multiple storylines in a tribute to the final moments of Hollywood's golden age.","{'Rick Dalton': 'Leonardo DiCaprio', 'Cliff Booth': 'Brad Pitt', 'Sharon Tate': 'Margot Robbie', 'Jay Sebring': 'Emile Hirsch', 'Pussycat': 'Margaret Qualley'}"
The Day the Earth Stood Still (1951),"Still living under the same roof, the Moscow couple of Boris and Zhenya is in the terrible final stages of a bitter divorce. Under those circumstances, as both have already found new partners, the insults pour down like rain in this toxic familial battle zone, always pivoting around the irresolvable and urgent matter of Alyosha's custody, their 12-year-old only son. Unheard, unloved, and above all, unwanted, the introverted and unhappy boy feels that he is an intolerable burden, however, what his parents don't know is that he can hear every single word. As a result, when Boris and Zhenya finally realize that Alyosha has been missing for nearly two days, it is already too late. But is this a simple case of a runaway teenager? —Nick Riganas","{'Zhenya': 'Maryana Spivak', 'Boris': 'Aleksey Rozin', 'Alyosha': 'Matvey Novikov', 'Masha': 'Marina Vasileva', 'Anton': 'Andris Keiss'}"
Fantasia (1940),"Sok-woo, a father with not much time for his daughter, Soo-ahn, are boarding the KTX, a fast train that shall bring them from Seoul to Busan. But during their journey, the apocalypse begins, and most of the earth's population become flesh craving zombies. While the KTX is shooting towards Busan, the passenger's fight for their families and lives against the zombies - and each other.","{'Seok-woo': 'Gong Yoo', 'Seong-kyeong': 'Yu-mi Jung', 'Sang-hwa': 'Ma Dong-seok', 'Soo-an': 'Su-an Kim', 'Yon-suk': 'Eui-sung Kim'}"
The Invisible Man (1933),"Halley lives with her six year old daughter Moonee in a budget motel along one of the commercial strips catering to the Walt Disney World tourist clientele outside Orlando, Florida. Halley, who survives largely on welfare, has little respect for people, especially those who cross her, it an attitude that she has passed down to Moonee, who curses and gives the finger like her mother. Although the motel's policy is not to allow long term rentals, Bobby, the motel manager, has made arrangements for people like Halley to live there while not undermining the policy as he realizes that many such tenants have no place to go otherwise. Halley, Moonee and Moonee's friends, who live in the motel or others like it along the strip and who she often drags into her disruptive pranks, are often the bane of Bobby's existence, but while dealing with whatever problem arises, Bobby has a soft spot especially for the children and thus, by association, their parents, as he knows that Moonee and others like her are just children acting like a children under whatever guidance they have, Moonee who has less guidance than most. Although there are some lines which he will not tolerate to be crossed, Bobby lets most of the disruptive things that they do go, largely as long as it does not affect the bread and butter of the motel, namely the tourist trade. The summer in this collective is presented, when Moonee and her friends, such as Scooty, are out of school and are left largely to their own devices while self-absorbed Halley does whatever she wants, often just staying in the room watching TV. Halley is supposed to look after Scooty, the son of Halley's friend Ashley, they who live in the unit immediately underneath Halley and Moonee's, while Ashley is at work at a local diner. In turn, Ashley pilfers cooked meals from the diner to feed Halley, Moonee and Scooty. Over the course of the summer, Halley systematically begins to alienate one by one the people who are her unofficial support by responding with that disrespect to anything she feels is against her. As such, Halley begins to take more and more extreme measures to maintain the life she leads with Moonee.","{'Moonee': 'Brooklynn Prince', 'Scooty': 'Christopher Rivera', 'Dicky': 'Aiden Malik', 'Grandma Stacy': 'Josie Olivo', 'Jancey': 'Valeria Cotto'}"
Dark Waters (2019),"A powerful and thought-provoking true-story, ""Just Mercy"" follows young lawyer Bryan Stevenson (Jordan) and his history-making battle for justice. After graduating from Harvard, Bryan might have had his pick of lucrative jobs. Instead, he heads to Alabama to defend those wrongly condemned, with the support of local advocate Eva Ansley (Larson.) One of his first, and most incendiary, cases is that of Walter McMillian (Foxx,) who, in 1987, was sentenced to die for the notorious murder of an 18-year-old girl, despite a preponderance of evidence proving his innocence and the fact that the only testimony against him came from a criminal with a motive to lie. In the years that follow, Bryan becomes embroiled in a labyrinth of legal and political maneuverings and overt and unabashed racism as he fights for Walter, and others like him, with the odds-and the system-stacked against them.","{'Walter McMillian': 'Jamie Foxx', 'Charlie the Tree Expert': 'Charlie Pye Jr.', 'Sheriff Tate': 'Michael Harding', 'Jim Wilkes': 'Christopher Wolfe', 'Bryan Stevenson': 'Michael B. Jordan'}"
Searching (III) (2018),"Frank Adler (Chris Evans) is a single man raising a child prodigy - his spirited young niece Mary (Mckenna Grace) in a coastal town in Florida. Frank's plans for a normal school life for Mary are foiled when the seven-year-old's mathematical abilities come to the attention of Frank's formidable mother Evelyn (Lindsay Duncan) whose plans for her granddaughter threaten to separate Frank and Mary. Octavia Spencer plays Roberta, Frank and Mary's landlady and best friend. Jenny Slate is Mary's teacher, Bonnie, a young woman whose concern for her student develops into a connection with her uncle as well.","{'Frank': 'Chris Evans', 'Mary': 'Mckenna Grace', 'Evelyn': 'Lindsay Duncan', 'Roberta': 'Octavia Spencer', 'Bonnie': 'Jenny Slate'}"
Once Upon a Time... in Hollywood (2019),"The Peanut Butter Falcon is an adventure story set in the world of a modern Mark Twain that begins when Zak (22), a young man with Down syndrome, runs away from the nursing home where he lives to chase his dream of becoming a professional wrestler by attending the wrestling school The Salt Water Redneck. Through circumstances beyond their control Tyler (32), a small-time outlaw on the run, becomes Zak's unlikely coach and ally. Together they wind through deltas, elude capture, drink whisky, find God, catch fish, and convince Eleanor (28), a kind nursing home employee with a story of her own, to join them on their journey.","{'Zak': 'Zack Gottsagen', 'Rosemary': 'Ann Owens', 'Eleanor': 'Dakota Johnson', 'Carl': 'Bruce Dern', 'Tyler': 'Shia LaBeouf'}"
Nelyubov (2017),A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,"{'Victoria': 'Laia Costa', 'Sonne': 'Frederick Lau', 'Boxer': 'Franz Rogowski', 'Blinker': 'Burak Yigit', 'Fuß': 'Max Mauff'}"
Busanhaeng (2016),"After saving Xandar from Ronan's wrath, the Guardians are now recognized as heroes. Now the team must help their leader Star Lord (Chris Pratt) uncover the truth behind his true heritage. Along the way, old foes turn to allies and betrayal is blooming. And the Guardians find that they are up against a devastating new menace who is out to rule the galaxy.","{'Peter Quill / Star-Lord': 'Chris Pratt', 'Gamora': 'Zoe Saldana', 'Drax': 'Dave Bautista', 'Baby Groot': 'Vin Diesel', 'Rocket': 'Bradley Cooper'}"
The Florida Project (2017),"Baby is a young and partially hearing impaired getaway driver who can make any wild move while in motion with the right track playing. It's a critical talent he needs to survive his indentured servitude to the crime boss, Doc, who values his role in his meticulously planned robberies. However, just when Baby thinks he is finally free and clear to have his own life with his new girlfriend, Debora, Doc coerces him back for another job. Now saddled with a crew of thugs too violently unstable to keep to Doc's plans, Baby finds himself and everything he cares for in terrible danger. To survive and escape the coming maelstrom, it will take all of Baby's skill, wits and daring, but even on the best track, can he make it when life is forcing him to face the music? —Kenneth Chisholm (kchishol@rogers.com)","{'Baby': 'Ansel Elgort', 'Griff': 'Jon Bernthal', 'Buddy': 'Jon Hamm', 'Darling': 'Eiza González', 'Barista': 'Micah Howard'}"
Just Mercy (2019),"In 2007 Prescott, Arizona, Eric Marsh of the Prescott Fire Department is frustrated fighting forest fires when the Type 1 or ""Hotshot"" front line forest fire fighting crews from afar overrule his operational suggestions to his area's sorrow. To change that, Marsh gets approval from the Mayor to attempt to organize an unprecedented certified municipal-based Hotshot crew for Prescott. To that end, Marsh needs new recruits, which includes the young wastrel, Brendan McDonough, to undergo the rigorous training and qualification testing for the most dangerous of fire fighting duty. Along the way, the new team meets the challenge and the hailed Granite Mountain Hotshots are born. In doing so, all the men, especially McDonough, are changed as new experience and maturity is achieved in fire-forged camaraderie. All this is put to the test in 2013 with the notorious Yarnell Hill Fire that will demand efforts and sacrifices no one can ignore.","{'Eric Marsh': 'Josh Brolin', 'Brendan McDonough': 'Miles Teller', 'Duane Steinbrink': 'Jeff Bridges', 'Amanda Marsh': 'Jennifer Connelly', 'Jesse Steed': 'James Badge Dale'}"
Gifted (2017),"While the Parr family has accepted its collective calling as superheroes, the fact remains that their special heroism is still illegal. After they are arrested after unsuccessfully trying to stop the Underminer, their future seems bleak. However, the wealthy Deavor siblings of Devtech offer new hope with a bold project to rehabilitate the public image and legal status of Supers, with Elastigirl being assigned on point to be the shining example. Now having agreed for now to stay at home to care of the kids, Mr. Incredible finds domestic life a daunting challenge, especially with baby Jack-Jack's newly emerged powers making him almost impossible to manage. However, Elastigirl soon has her own concerns dealing with the menace of a new supervillain, Screenslaver, who is wreaking havoc with his mind control abilities. Now, Elastigirl must solve the mystery of this enemy, who has malevolent designs on the world with the Parr family and friends key targets of this evil.","{'Bob Parr / Mr. Incredible': 'Craig T. Nelson', 'Helen Parr / Elastigirl': 'Holly Hunter', 'Violet Parr': 'Sarah Vowell', 'Dashiell Parr': 'Huck Milner', 'Evelyn Deavor': 'Catherine Keener'}"
The Peanut Butter Falcon (2019),"Moana Waialiki is a sea voyaging enthusiast and the only daughter of a chief in a long line of navigators. When her island's fishermen can't catch any fish and the crops fail, she learns that the demigod Maui caused the blight by stealing the heart of the goddess, Te Fiti. The only way to heal the island is to persuade Maui to return Te Fiti's heart, so Moana sets off on an epic journey across the Pacific. The film is based on stories from Polynesian mythology.","{'Moana': ""Auli'i Cravalho"", 'Maui': 'Dwayne Johnson', 'Gramma Tala': 'Rachel House', 'Chief Tui': 'Temuera Morrison', 'Tamatoa': 'Jemaine Clement'}"
Victoria (II) (2015),"When drug violence worsens on the USA Mexico border, the FBI sends an idealistic agent, Kate Macer (Emily Blunt) on a mission to eradicate a drug cartel responsible for a bomb that had killed members of her team.","{'Kate Macer': 'Emily Blunt', 'Alejandro': 'Benicio Del Toro', 'Matt Graver': 'Josh Brolin', 'Dave Jennings': 'Victor Garber', 'Ted': 'Jon Bernthal'}"
Guardians of the Galaxy Vol. 2 (2017),"Adonis Johnson is the son of the famous boxing champion Apollo Creed, who died in a boxing match in Rocky IV (1985). Adonis wasn't born until after his father's death and wants to follow his fathers footsteps in boxing. He seeks a mentor who is the former heavyweight boxing champion and former friend of Apollo Creed, the retired Rocky Balboa. Rocky eventually agrees to mentor Adonis. With Rocky's help they hope to get a title job to face even deadlier opponents than his father. But whether he is a true fighter remains to be seen....","{'Adonis Johnson': 'Michael B. Jordan', 'Rocky Balboa': 'Sylvester Stallone', 'Bianca': 'Tessa Thompson', 'Mary Anne Creed': 'Phylicia Rashad', ""Danny 'Stuntman' Wheeler"": 'Andre Ward'}"
Baby Driver (2017),"On the outskirts of a small coastal town in the Barents Sea, where whales sometimes come to its bay, lives an ordinary family: Kolya (Aleksey Serebryakov), his wife Lilya (Elena Lyadova) and their teenage son Romka. The family is haunted by a local corrupted mayor (Roman Madyanov), who is trying to take away the land, a house and a small auto repair shop from Kolya. To save their homes Kolya calls his old Army friend in Moscow (Vladimir Vdovichenkov), who has now become an authoritative attorney. Together they decide to fight back and collect dirt on the mayor.","{""Nikolay 'Kolya'"": 'Aleksey Serebryakov', 'Lilya': 'Elena Lyadova', 'Dmitriy': 'Vladimir Vdovichenkov', ""Vadim Cheleviat 'Mer'"": 'Roman Madyanov', 'Anzhela': 'Anna Ukolova'}"
Only the Brave (2017),"In Texas, after the death of his mother, the unemployed oil and gas worker Toby Howard is losing his ranch to the Texas Midlands Bank. Toby is divorced from his wife who lives with their two sons. When his brother Tanner Howard is released from the prison, they team up to rob agencies of the Texas Midlands Bank to raise money to pay the loan so that Toby may leave the real estate to his sons. Meanwhile the Texas Ranger Marcus Hamilton who is near retirement and his Native American-descendant partner Alberto Parker try to anticipate the next move of the thieves.","{'Elsie': 'Dale Dickey', 'Tanner Howard': 'Ben Foster', 'Toby Howard': 'Chris Pine', 'Mr. Clauson': 'William Sterchi', 'Old Man': 'Buck Taylor'}"
Incredibles 2 (2018),"When former journalist Martin Sixsmith (Steve Coogan) is dismissed from the Labour Party in disgrace, he is at a loss as to what do. That changes when a young Irish woman approaches him about a story of her mother, Philomena Lee (Dame Judi Dench), who had her son taken away when she was a teenage inmate of a Catholic convent. Martin arranges a magazine assignment about her search for him that eventually leads to America. Along the way, Martin and Philomena discover as much about each other as about her son's fate. Furthermore, both find their basic beliefs challenged.","{'Philomena Lee': 'Judi Dench', 'Martin Sixsmith': 'Steve Coogan', 'Young Philomena': 'Sophie Kennedy Clark', 'Mary': 'Mare Winningham', 'Sister Hildegarde': 'Barbara Jefford'}"
Moana (I) (2016),"In the middle of the night, a guard working the night shift at a morgue located deep in the woods has a terrible car accident. But, why did the guard panic and left his post in the first place? Furthermore, according to the register, the body of Mayka Villaverde--a beautiful and affluent businesswoman--is mysteriously missing from the morgue. Presumably, Mayka died of a heart attack; nevertheless, who signed the death certificate, as her autopsy is still pending? In the end, there is a general principle in forensic medicine which specifically states that every death is a homicide until proven otherwise. But, finding out who is behind this fiendishly difficult case is going to be an arduous task. Can Inspector Jaime Peña get to the bottom of it? —Nick Riganas","{'Jaime Peña': 'Jose Coronado', 'Álex Ulloa': 'Hugo Silva', 'Mayka Villaverde': 'Belén Rueda', 'Carla': 'Aura Garrido', 'Vigilante Ángel Torres': 'Miquel Gelabert'}"
Sicario (2015),"In Jakarta, Indonesia, Lieutenant Wahyu organizes the invasion of an apartment building that is the safe house of the powerful and cruel drug lord Tama and his gang. The SWAT team breaks in the building but one lookout sees and warns the gangsters and the police force is trapped on the seventh floor. They learn that Lt. Wahyu has not informed his superiors about the operation. Now the police officers have to fight with limited ammunition against the armed and dangerous gangsters.","{'Rama': 'Iko Uwais', 'Jaka': 'Joe Taslim', 'Andi': 'Donny Alamsyah', 'Mad Dog': 'Yayan Ruhian', 'Wahyu': 'Pierre Gruno'}"
